Repository,Image observations,Optimizations tried,Optimisation results
https://github.com/ruhyadi/YOLO3D,11.4GB,8.38GB,BUILD_FAILED
https://github.com/OpenDroneMap/WebODM,1.39GB,NO_OPTIMIZATIONS,1.39GB
https://github.com/COVESA/vsomeip,859MB,NO_OPTIMIZATIONS,859MB
https://github.com/clydemcqueen/tello_ros,4.89GB,4.89GB,BUILD_FAILED
https://github.com/amov-lab/Prometheus,332MB,258MB,258MB
https://github.com/drone-plugins/drone-docker,2.5GB,2.1GB,1.9GB
https://github.com/mavlink/qgroundcontrol,562MB,490MB,460MB
https://github.com/harness/drone-cli,128MB,128MB,128MB
https://github.com/Call-for-Code/DroneAid,11.6GB,11.6GB,11.6GB
https://github.com/amymcgovern/pyparrot,768MB,728MB,728MB
https://github.com/meltwater/drone-cache,1.8GB,1.768GB,1.768GB
https://github.com/appleboy/drone-ssh,332MB,450MB,450MB
https://github.com/DroneDB/DroneDB,158MB,128MB,128MB
#https://github.com/mspnp/aks-fabrikam-dronedelivery,,,
https://github.com/OpenDroneMap/WebODM,,,
https://github.com/drone/docs,,,
https://github.com/ipedrazas/drone-helm,,,
https://github.com/orig74/DroneSimLab,,,
https://github.com/OpenDroneMap/ODM,,,
