Id,Repo,Commit ID,Category,Change Files,Analysis,Notes,
1,https://github.com/autowarefoundation/autoware,https://github.com/autowarefoundation/autoware/commit/3dad5543d2c9ccbf01fe55598965d9aaf28a9d21,Runtime + Space Saving,Dockerfile,Adding the dependency-types=exec flag to remove unwanted installations,,
2,https://github.com/autowarefoundation/autoware,https://github.com/autowarefoundation/autoware/commit/821f488ce93ec40d9e5560b85f9723421a6a4658,Runtime + Space Saving,Dockerfile,Adding --packages-above-and-dependencies autoware_tensorrt_common to remove unwanted dependencies,,
3,https://github.com/autowarefoundation/autoware,https://github.com/autowarefoundation/autoware/commit/39f266a55269e8cfa1ad7d04d8495bded13da48a,Runtime + Space Saving,Dockerfile,Removing exec flag to aid module builds,,
4,https://github.com/autowarefoundation/autoware,https://github.com/autowarefoundation/autoware/commit/ef7a992c52f54269a8b7773f6d26c218ec6081dd,Avoid deleting needed files,"Dockerfile, cleanup sh","Instead of using rm -rf to delete everything, delete selective files using a custom script",,
5,https://github.com/autowarefoundation/autoware,https://github.com/autowarefoundation/autoware/commit/2ab4f1cfaaf4027f748cd5d36edfd2eb7e0156a9,Runtime + Space Saving,Dockerfile,Remove loads after build complete,,
6,https://github.com/ApolloAuto/apollo,https://github.com/ApolloAuto/apollo/commit/bda6d118db3dc5d5f3fffa8b68e09711ec1a4d1f,Compilation issues + Hardware usage ,Docker sh,Add certain hardware requirements into the script,Unmaintained,
7,https://github.com/ApolloAuto/apollo,https://github.com/ApolloAuto/apollo/commit/eecfb3035fce8a921e6c5d313ff32903c15111bf,Code Cleanup,Docker sh,Remove unwanted variables while building,Unmaintained,
8,https://github.com/microsoft/AirSim,https://github.com/microsoft/AirSim/commit/80390681b66d1d60a2a1b672d528de6aa5234154,Code Cleanup,Dockerfile,Use Debian frontend to suppress interactive prompts and image size,Unmaintained,
9,https://github.com/carla-simulator/carla,https://github.com/carla-simulator/carla/commit/ada75f920642e18cace0a9f85ecf9d4077ddb531,Code Cleanup + Runtime + Space Saving,Dockerfile,"Use Debian frontend to suppress interactive prompts and image size, also adds flags to reduce image size and avoid unwanted dependencies getting added, does thorough cleanup of execution files",,
10,https://github.com/carla-simulator/carla,https://github.com/carla-simulator/carla/commit/ffcaad9fd6beb1a5d68527a8f58096739f0d17d4,Code Cleanup + Runtime + Space Saving,Dockerfile,Removes comprehensive custom installation with less space occupying commands and thorough cleanup after,,
11,https://github.com/cyberbotics/webots,https://github.com/cyberbotics/webots/commit/4f8471f3b4d6f7bafefc68b06618c843789ebcd2,Introduce Docker,Dockerfile,Introduces ways to run app in docker,,
12,https://github.com/ai-winter/ros_motion_planning,https://github.com/ai-winter/ros_motion_planning/commit/f4b6b195b9affe8f1e5a539a9d042af01020dadb,Cleanup Docker file to move to sh based runtime,Dockerfile,Introduces run-missing command to add missing dependencies,,
13,https://github.com/pptacher/probabilistic_robotics,https://github.com/pptacher/probabilistic_robotics/commit/2ce4f2ff7b113b997ae1b3d801fb7ddbf85c33c7,Introduce Docker,Dockerfile,Introduces ways to run app in docker,,
14,https://github.com/AndreiBarsan/DynSLAM,https://github.com/AndreiBarsan/DynSLAM/commit/368519b4656dfe4bc0d236751f47ebc72e16314c,Tries to introduce Docker,Dockerfile,Introduces ways to run app in docker,Academic project,
15,https://github.com/ArduPilot/apm_planner,https://github.com/ArduPilot/apm_planner/commit/32e3eeb40fc22c8256dc0e7dfca8369f07e247aa,URL change from http to https,Dockerfile,"URL change, nothing substantial",,
16,https://github.com/erdos-project/pylot,https://github.com/erdos-project/pylot/commit/cbc937c1cd36e2086165061b7707b52c85f30f8b,Security,Dockerfile,Remove user flags to detach user from running scripts,Security issue,
17,https://github.com/erdos-project/pylot,https://github.com/erdos-project/pylot/commit/858869fec82238ccc3eba0947b0ea37e6202b054,Security,Dockerfile,Version changes to enhance security,Security issue,
18,https://github.com/erdos-project/pylot,https://github.com/erdos-project/pylot/commit/95e7522133cfb6d955101eaf221809e7f9f40df4,Customisation,Dockerfile,Sets locales to docker to provide custom language,,
19,https://github.com/erdos-project/pylot,https://github.com/erdos-project/pylot/commit/7ed37c33a3c4045328a8a6504805b9478a5e54e3,Code Cleanup,Dockerfile,Cleanup unwanted commands to enhance image,,
20,https://github.com/erdos-project/pylot,https://github.com/erdos-project/pylot/commit/47ff456f50710f6acc622bdc5779a0d217c00e5c,Code Patch,Dockerfile,Add missing packages from failed installations and run new build,,
21,https://github.com/erdos-project/pylot,https://github.com/erdos-project/pylot/commit/6ffefb91e3c006f44110ee4589081d6f1272841b,Add login to build,Dockerfile,Introduce login to running the build,Security issue,
22,https://github.com/usdot-fhwa-stol/carma-platform,https://github.com/usdot-fhwa-stol/carma-platform/commit/7d313f076531b17670df18e4800b4acbf833c564,Add docker folder to path,Dockerfile,Permissions error fixed in script,,
23,https://github.com/usdot-fhwa-stol/carma-platform,https://github.com/usdot-fhwa-stol/carma-platform/commit/85001ce6ab37e3048a400c4d0fe18c167c4c4aa6,Hardcode image name,Dockerfile,"Instead of using a centralised repo, hardcodes image tags inside code",Bad practice,
24,https://github.com/INTO-CPS-Association/DTaaS,https://github.com/INTO-CPS-Association/DTaaS/commit/fc33c920d49c652ede3c196c2231e253cd6fea8a,Fixes wrong docker base image/script,"Dockerfile, cleanup sh",Fixes a wrong start script in earlier docker images,,
25,https://github.com/INTO-CPS-Association/DTaaS,https://github.com/INTO-CPS-Association/DTaaS/commit/d7afd83d47e3301a6087115b25758bd119b0acff,Cleanup variable names,Dockerfile,Cleanup variables and remove unwanted ones,,
26,https://github.com/INTO-CPS-Association/DTaaS,https://github.com/INTO-CPS-Association/DTaaS/commit/5cd60eebcde79c1fb0edf642c530ddbbdf3e1d38,Create custom script and avoid inbuilt scripts,Dockerfile,Moves from using npm install to having a custom script to avoid overhead,,
27,https://github.com/INTO-CPS-Association/DTaaS,https://github.com/INTO-CPS-Association/DTaaS/commit/725e144bfe475ec271ba103d9d7fccf6ea19e65c,Breakup Dockerfiles,Dockerfile,Breaks up docker files into multiple parts to have more modularity,,
28,https://github.com/verivital/nnv,https://github.com/verivital/nnv/commit/79dc3c15b7b2c9689fffe8213ac9021a8642c8bb,Avoid apt-get install unless necessary,Dockerfile,Removes apt-get install full and adds nano,,
29,https://github.com/ArduPilot/ardupilot,https://github.com/ArduPilot/ardupilot/commit/e5e78d3e3f3f35996aed7af4012e4929144a3dd7,Security,Dockerfile,Avoid setting user details unless during installation and necessary,Security issue,
30,https://github.com/ArduPilot/ardupilot,https://github.com/ArduPilot/ardupilot/commit/26596484ed2812bbf7ac86165514c094221357d7,Remove alias,Dockerfile,Delete usage of alias as it makes running the command more complex and unavailable,,
31,https://github.com/ArduPilot/ardupilot,https://github.com/ArduPilot/ardupilot/commit/d0bc7921f0921c1e091fa032c20b5432973c92c3,Skip commands,Dockerfile,Add skip flags to norun certain commands,,
32,https://github.com/ArduPilot/ardupilot,https://github.com/ArduPilot/ardupilot/commit/1ae25d9a614a6e01a08fcd9191e5a66a572c5130,Argumentation,Dockerfile,Add arguments instead of hardcoding image names,Good practice,
33,https://github.com/ArduPilot/ardupilot,https://github.com/ArduPilot/ardupilot/commit/3969ae411baacaa2c2cd7996237004b8b3bd0162,Hardcode user name,Dockerfile,Hardcodes user names to file,Bad practice,
