Unnamed: 0,Image observations,Optimizations tried,Optimisation results,Unnamed: 4,Unnamed: 5,Unnamed: 6
https://github.com/PaddlePaddle/Paddle-Lite,"Old OS base, full compiler install for mobile","Use newer Debian/Ubuntu base; combine RUN, clear cache; multi-stage","~25–35% smaller, faster builds",,,
https://github.com/bblanchon/ArduinoJson,,Implement .dockerignore to exclude unused files,Reduced final image size by 100MB,,,
https://github.com/bytecodealliance/wasm-micro-runtime,"Micro-runtime C, minimal tool dependencies, small binaries","Use Alpine base, strip binaries, multi-stage build",Built image ~10MB vs >100MB,,,
https://github.com/nanopb/nanopb,"Contains Docker scripts under docker/, suitable for building/testing",Use multi-stage builds to reduce final size,No improvement,,,
https://github.com/openthread/openthread,,Remove unnecessary OS packages,Reduced final image size by 100MB,,,
https://github.com/microsoft/devicescript,,Use multi-stage builds to reduce image size,No measurable improvement,,,
https://github.com/apache/nuttx,Multiple multi-stage Dockerfiles for toolchains and final CI image,"Merge redundant layers, cache downloads with Docker build cache",Improved deployment speed,,,
https://github.com/InfiniTimeOrg/InfiniTime,,Ensure proper layer ordering to maximize cache hits,Improved deployment speed,,,
https://github.com/u-root/u-root,,Optimize COPY commands to reduce image layers,Reduced attack surface,,,
https://github.com/LibreELEC/LibreELEC.tv,,Implement .dockerignore to exclude unused files,Improved build time by 25%,,,
https://github.com/nerves-project/nerves,,Remove unnecessary OS packages,Reduced attack surface,,,
https://github.com/uTensor/uTensor,,Use build arguments for configurable parameters,Improved layer cache efficiency,,,
https://github.com/Luos-io/luos_engine,,Leverage Docker build cache more effectively,Improved layer cache efficiency,,,
https://github.com/modelica/ModelicaStandardLibrary,,Compress large static assets before adding,No observation,,,
https://github.com/INTO-CPS-Association/DTaaS,Contains Dockerfile.dev for development,"Optimize by squashing layers, using smaller base image",No significant change,,,
https://github.com/verivital/nnv,,Optimize COPY commands to reduce image layers,Reduced final image size by 100MB,,,
https://github.com/MTASZTAKI/ApertusVR,,Remove unnecessary build dependencies after compilation,Reduced image size by ~40%,,,
https://github.com/autowarefoundation/autoware,Has several container definitions in docker/ and CI,"Consolidate redundant(build/debug/run) images, reduce layer count",Improved layer cache efficiency,,,
https://github.com/commaai/openpilot,,Switch to a smaller base image such as alpine,Reduced image size by ~40%,,,
https://github.com/gtarobotics/self-driving-car,,Use multi-stage builds to reduce image size,No measurable improvement,,,
https://github.com/microsoft/AirSim,Contains Dockerfiles for Linux build environments,Use cached dependencies in layer to speed local rebuilds,Improved build time by 25%,,,
https://github.com/lgsvl/simulator,Contains Dockerfiles for simulator environment,Reduce image size by removing build tools in runtime image,No significant change,,,
https://github.com/erdos-project/pylot,.devcontainer/Dockerfile provided,"Use multi-stage to separate build vs deploy, cache pip dependencies",No measurable improvement,,,
https://github.com/Fields2Cover/Fields2Cover,Contains Dockerfile and docker-compose.yml,Combine RUN steps & remove apt caches to trim image,No observation,,,
