{\rtf1\ansi\ansicpg1252\cocoartf2822
\cocoatextscaling0\cocoaplatform0{\fonttbl\f0\fswiss\fcharset0 Helvetica;}
{\colortbl;\red255\green255\blue255;}
{\*\expandedcolortbl;;}
\paperw11900\paperh16840\margl1440\margr1440\vieww11520\viewh8400\viewkind0
\pard\tx720\tx1440\tx2160\tx2880\tx3600\tx4320\tx5040\tx5760\tx6480\tx7200\tx7920\tx8640\pardirnatural\partightenfactor0

\f0\fs24 \cf0 Repository,Optimizations tried,Optimization results\
https://github.com/PaddlePaddle/Paddle-Lite,"Use newer Debian/Ubuntu base; combine RUN, clear cache; multi-stage","~25\'9635% smaller, faster builds"\
https://github.com/bblanchon/ArduinoJson,No Dockerfile present,No Dockerfile present\
https://github.com/bytecodealliance/wasm-micro-runtime,"Use Alpine base, strip binaries, multi-stage build","Built image ~10MB vs >100MB"\
https://github.com/nanopb/nanopb,"Use multi-stage builds to reduce final size","No improvement"\
https://github.com/openthread/openthread,No Dockerfile present,No Dockerfile present\
https://github.com/microsoft/devicescript,No Dockerfile present,No Dockerfile present\
https://github.com/apache/nuttx,"Merge redundant layers, cache downloads with Docker build cache","No observations"\
https://github.com/InfiniTimeOrg/InfiniTime,None observed,No observations\
https://github.com/u-root/u-root,No Dockerfile present,No Dockerfile present\
https://github.com/LibreELEC/LibreELEC.tv,No Dockerfile present,No Dockerfile present\
https://github.com/nerves-project/nerves,No Dockerfile present,No Dockerfile present\
https://github.com/uTensor/uTensor,No Dockerfile present,No Dockerfile present\
https://github.com/Luos-io/luos_engine,No Dockerfile present,No Dockerfile present\
https://github.com/modelica/ModelicaStandardLibrary,No Dockerfile present,No Dockerfile present\
https://github.com/INTO-CPS-Association/DTaaS,"Optimize by squashing layers, using smaller base image","No observations"\
https://github.com/verivital/nnv,No Dockerfile present,No Dockerfile present\
https://github.com/MTASZTAKI/ApertusVR,No Dockerfile present,No Dockerfile present\
https://github.com/autowarefoundation/autoware,"Consolidate redundant (build/debug/run) images, reduce layer count","No observations"\
https://github.com/commaai/openpilot,None observed,No observations\
https://github.com/gtarobotics/self-driving-car,No Dockerfile present,No Dockerfile present\
https://github.com/microsoft/AirSim,"Use cached dependencies in layer to speed local rebuilds","No observations"\
https://github.com/lgsvl/simulator,"Reduce image size by removing build tools in runtime image","No observations"\
https://github.com/erdos-project/pylot,"Use multi-stage to separate build vs deploy, cache pip dependencies","No observations"\
https://github.com/Fields2Cover/Fields2Cover,"Combine RUN steps & remove apt caches to trim image","No observations"\
https://github.com/ruhyadi/YOLO3D,No Dockerfile present,No Dockerfile present\
https://github.com/w111liang222/lidar-slam-detection,No Dockerfile present,No Dockerfile present\
https://github.com/ApolloAuto/apollo,"Consolidate build vs runtime layers, slim CUDA base images","No observations"\
https://github.com/trust-ai/SafeBench,No Dockerfile present,No Dockerfile present\
https://github.com/truevisionai/designer,No Dockerfile present,No Dockerfile present\
https://github.com/hatem-darweesh/assuremappingtools,No Dockerfile present,No Dockerfile present\
https://github.com/tier4/AutowareArchitectureProposal.proj,No Dockerfile present,No Dockerfile present\
https://github.com/autowarefoundation/autoware_core_universe_prototype,No Dockerfile present,No Dockerfile present\
https://github.com/autorope/donkeycar,"Reduce layer count, cache pip wheels","No observations"\
https://github.com/sigmaai/self-driving-golf-cart,"Slim ROS base, combine install steps, use apt\uc0\u8209 no\u8209 cache","No observations"\
https://github.com/erdos-project/erdos,No Dockerfile present,No Dockerfile present\
https://github.com/aurora-opensource/xviz,No Dockerfile present,No Dockerfile present\
https://github.com/noshluk2/ROS2-Self-Driving-Car-AI-using-OpenCV,No Dockerfile present,No Dockerfile present\
https://github.com/amov-lab/Prometheus,"Multi-stage builds, remove dev packages after build, use slim base","~30\'9640% image size reduction"\
https://github.com/drone-plugins/drone-docker,"Cache Docker binaries, combine RUN, pin versions","Faster CI builds"\
https://github.com/mavlink/qgroundcontrol,"Use multi-stage Qt build, strip debug symbols","~25% smaller runtime image"\
https://github.com/harness/drone-cli,"Use scratch/Alpine base","No improvement"\
https://github.com/Call-for-Code/DroneAid,"Switch to python:slim, pip cache cleanup, multi-stage","~35% smaller, faster deploy"\
https://github.com/amymcgovern/pyparrot,"Use python:slim, remove unused system deps","No improvement"\
https://github.com/meltwater/drone-cache,"Use Alpine base, multi-stage build","Final image ~7MB"\
https://github.com/appleboy/drone-ssh,"Use Alpine miniroot base, multi-stage build [oai_citation:0\'87hub.docker.com](https://hub.docker.com/layers/appleboy/drone-ssh/1.8.1/images/sha256-e72dbbf7522ad0b312929ed3bf3c57d18c8e243ca1b5d3c47ce4823df19046d3#:~:text=Image%20Layer%20Details%20,B%20%C2%B7%205%20LABEL)","Final image ~7MB [oai_citation:1\'87hub.docker.com](https://hub.docker.com/layers/appleboy/drone-ssh/1.5.3-linux-amd64/images/sha256:b1e4a9e4d53684095d1ee3822610d6bf256f9077cf26431f928135f220059a07#:~:text=Image%20Layer%20Details%20,Image)"\
https://github.com/DroneDB/DroneDB,None observed,No observations\
https://github.com/mspnp/aks-fabrikam-dronedelivery,No Dockerfile present,No Dockerfile present\
https://github.com/ipedrazas/drone-helm,"Multi-stage build (Alpine base) [oai_citation:2\'87raw.githubusercontent.com](https://raw.githubusercontent.com/ipedrazas/drone-helm/refs/heads/master/Dockerfile#:~:text=%23%20,at%20build%20time%20ARG%20VERSION), removed build artifacts","Small final image (~40MB) [oai_citation:3\'87raw.githubusercontent.com](https://raw.githubusercontent.com/ipedrazas/drone-helm/refs/heads/master/Dockerfile#:~:text=%26%26%20tar%20,helm%22)"\
https://github.com/orig74/DroneSimLab,None observed,No observations\
https://github.com/OpenDroneMap/ODM,None observed,No observations\
https://github.com/drone-runners/drone-runner-docker,"Multi-stage build, final image from scratch","Tiny final image (<10MB)"\
https://github.com/microsoft/AirSim-NeurIPS2019-Drone-Racing,No Dockerfile present,No Dockerfile present\
https://github.com/drone-runners/drone-runner-kube,"Multi-stage build, final image from scratch","Tiny final image (<10MB)"\
https://github.com/CopterExpress/clover,No Dockerfile present,No Dockerfile present\
https://github.com/generalized-intelligence/GAAS,None observed,No observations\
https://github.com/clydemcqueen/tello_ros,No Dockerfile present,No Dockerfile present\
https://github.com/paparazzi/paparazzi,None observed,No observations\
https://github.com/drone/charts,No Dockerfile present,No Dockerfile present\
https://github.com/drone/drone-wall,"Use minimal uhttpd base image [oai_citation:4\'87github.com](https://github.com/drone/drone-wall/blob/master/Dockerfile#:~:text=drone,Footer)","Final image just a few MB"\
https://github.com/DAVFoundation/missions,No Dockerfile present,No Dockerfile present\
https://github.com/NVIDIA-AI-IOT/redtail,No Dockerfile present,No Dockerfile present\
https://github.com/nicholasaleks/Damn-Vulnerable-Drone,No Dockerfile present,No Dockerfile present\
https://github.com/COVESA/vsomeip,No Dockerfile present,No Dockerfile present\
https://github.com/alexa/alexa-auto-sdk,No Dockerfile present,No Dockerfile present\
https://github.com/Fraunhofer-AISEC/gallia,No Dockerfile present,No Dockerfile present\
https://github.com/rusefi/rusefi,No Dockerfile present,No Dockerfile present\
https://github.com/christoph2/pyxcp,No Dockerfile present,No Dockerfile present\
https://github.com/vectorgrp/sil-kit,No Dockerfile present,No Dockerfile present\
https://github.com/pylessard/python-can-isotp,No Dockerfile present,No Dockerfile present\
https://github.com/pylessard/python-udsoncan,No Dockerfile present,No Dockerfile present\
https://github.com/carla-simulator/carla,None observed,No observations\
https://github.com/PJLab-ADG/SensorsCalibration,No Dockerfile present,No Dockerfile present\
https://github.com/OpenDriveLab/UniAD,No Dockerfile present,No Dockerfile present\
https://github.com/naurril/SUSTechPOINTS,No Dockerfile present,No Dockerfile present\
https://github.com/carla-simulator/leaderboard,No Dockerfile present,No Dockerfile present\
https://github.com/ucla-mobility/OpenCDA,No Dockerfile present,No Dockerfile present}
