Project;Pull Number;Contain a Challenge or Barrier? First;Contain a Challenge or Barrier? Second;Is CPS Specific? Fisrt;Is CPS Specific? Second;Bad Practice First;Bad Practice Second;Challenge/Barrier First;Challenge/Barrier Second;Mitigation Fisrt;Mitigation Second;Restructuring First;Restructuring Second
PX4/PX4-SITL_gazebo;36;NO;NO;;;;;;;;;;
PX4/PX4-SITL_gazebo;77;NO;NO;;;;;;;;;;
PX4/PX4-SITL_gazebo;106;NO;NO;;;;;;;;;;
PX4/PX4-SITL_gazebo;143;NO;NO;;;;;;;;;;
PX4/PX4-SITL_gazebo;136;NO;YES;;NO;;Build Dependencies Management;;;;;;
PX4/PX4-SITL_gazebo;185;YES;NO;NO;;Build Outcome_A build is succeeded when a task is failed or an error is thrown;;;;;;Build Policy_Change how the build outcome is determined;
PX4/PX4-SITL_gazebo;200;NO;NO;;;;;;;;;;
PX4/PX4-SITL_gazebo;203;NO;NO;;;;;;;;;;
PX4/PX4-SITL_gazebo;220;NO;NO;;;;;;;;;;
PX4/PX4-SITL_gazebo;243;NO;YES;;NO;;Build Dependencies Management_Including unneeded dependencies;;;;;;Build Process Organization_Update checks in the build process
PX4/PX4-SITL_gazebo;311;NO;NO;;;;;;;;;;
PX4/PX4-SITL_gazebo;351;NO;NO;;;;;;;;;;
PX4/PX4-SITL_gazebo;395;YES;NO;NO;;Build Dependencies Management;;;;;;Build Process Organization_Update checks in the build process;
PX4/PX4-SITL_gazebo;393;NO;NO;;;;;;;;;;
PX4/PX4-SITL_gazebo;412;NO;NO;;;;;;;;;;
PX4/PX4-SITL_gazebo;502;NO;NO;;;;;;;;;;
PX4/PX4-SITL_gazebo;528;NO;NO;;;;;;;;;;
PX4/PX4-SITL_gazebo;570;YES;NO;YES;;;;Hard to interface CI service with simulator;;;;Build Infrastructure_Add new CI service;
PX4/PX4-SITL_gazebo;576;YES;YES;YES;YES;;;Flaky Behaviour_Lack of control over resources;Flaky Behaviour_Lack of control over resources;Flakiness_Adjust Pipeline Configuration;Flakiness_Adjust Pipeline Configuration
PX4/PX4-SITL_gazebo;574;YES;NO;NO;;Build Outcome;;;;;;Build Policy_Change how the build outcome is determined;
PX4/PX4-SITL_gazebo;630;NO;NO;;;;;;;;;;
PX4/PX4-SITL_gazebo;663;NO;NO;;;;;;;;;;
PX4/PX4-SITL_gazebo;731;YES;YES;YES;YES;;;Simulators_Interacting environment;Simulators_Limited Functionality;Resources_Evolve simulator;;;
PX4/PX4-SITL_gazebo;146;NO;NO;;;;;;;;;;
PX4/PX4-SITL_gazebo;240;NO;NO;;;;;;;;;;
PX4/PX4-SITL_gazebo;357;NO;NO;;;;;;;;;;
PX4/PX4-SITL_gazebo;473;NO;YES;;NO;;Builld Initialization_Inappropriate build environment clean-up strategy (i.e., whether to (not) use incremental builds);;;;;;
PX4/PX4-SITL_gazebo;473;YES;YES;NO;NO;Build Dependencies Management_Inappropriate choice about what to cache;Build Dependencies Management_Inappropriate choice about what to cache;;;;;;
PX4/PX4-SITL_gazebo;547;NO;NO;;;;;;;;;;
PX4/PX4-SITL_gazebo;578;NO;NO;;;;;;;;;;
PX4/PX4-SITL_gazebo;505;NO;NO;;;;;;;;;;
PX4/PX4-SITL_gazebo;589;NO;NO;;;;;;;;;;
PX4/PX4-SITL_gazebo;749;NO;NO;;;;;;;;;;
linux-can/can-utils;97;NO;YES;;NO;;Build Outcome_A build is succeeded when a task is failed or an error is thrown;;;;;;
linux-can/can-utils;254;NO;NO;;;;;;;;;;
linux-can/can-utils;325;NO;NO;;;;;;;;;;
linux-can/can-utils;243;NO;NO;;;;;;;;;;
linux-can/can-utils;320;NO;NO;;;;;;;;;;
ArduPilot/apm_planner;1046;YES;NO;YES;;;;Simulators_Functional Correctness;;Resources_Change simulator settings;;;
ArduPilot/apm_planner;1070;YES;YES;NO;NO;Build Dependencies Management_Including unneeded dependencies;Build Dependencies Management_Including unneeded dependencies;;;;;Build Policy_Change the dependencies' installation policy;Performance_Remove Unneeded environments/scripts/tasks
ArduPilot/apm_planner;1135;NO;NO;;;;;;;;;;
ArduPilot/apm_planner;1191;NO;NO;;;;;;;;;;
ArduPilot/apm_planner;1192;NO;NO;;;;;;;;;;
ArduPilot/apm_planner;10;NO;NO;;;;;;;;;;
ArduPilot/apm_planner;94;NO;NO;;;;;;;;;;
ArduPilot/apm_planner;171;YES;YES;YES;YES;;;HiL interfacing issue;Simulators_Functional Correctness;Resources_Change HiL configuration;;;
ArduPilot/apm_planner;588;NO;NO;;;;;;;;;;
ArduPilot/apm_planner;775;NO;NO;;;;;;;;;;
ArduPilot/apm_planner;954;YES;NO;NO;;;;Pipeline Properties_Time_Build time too long;;;;Infrastructure_Introduce Containerization;
