ID;Project;Pull Number;Pull Request Link;Pull Request Title;Is Merged?;Has a Challenge/BadPractice?;Is CPS-Specific?;Bad Practice;Challenge/Barrier;Mitigation;Restructuring
1;nasa/fprime;18;https://github.com/nasa/fprime/pull/18;Update better magic plugin;TRUE;NO;;;;;
2;nasa/fprime;187;https://github.com/nasa/fprime/pull/187;Pylama on CI;TRUE;NO;;;;;
3;nasa/fprime;242;https://github.com/nasa/fprime/pull/242;Packaged build artifacts into artifacts directory;TRUE;YES;NO;Repository Structure_The project decomposition in the repository does not follow modularization principles;;;
4;nasa/fprime;304;https://github.com/nasa/fprime/pull/304;Separate fprime-util generate for different build types;TRUE;YES;NO;Build Process Definition_Wide and incohesive build jobs are used (e.g., a build job mixes up testing and static analysis activities);;;Maintainability_Split build scripts/jobs
5;nasa/fprime;493;https://github.com/nasa/fprime/pull/493;Turn off pip caching for docker build;TRUE;YES;NO;Build Dependencies Management_Inappropriate choice about what to cache;;;Performance_Change Caching configuration
6;nasa/fprime;354;https://github.com/nasa/fprime/pull/354;lestarch: refactored IPv4 drivers;FALSE;NO;;;;;
7;nasa/fprime;788;https://github.com/nasa/fprime/pull/788;Automate development setup;FALSE;NO;;;;;
8;mavlink/mavros;296;https://github.com/mavlink/mavros/pull/296;distance_sensor: small enhancements;TRUE;NO;;;;;
9;mavlink/mavros;924;https://github.com/mavlink/mavros/pull/924;Blacklist HIL for APM since it is not relevent;TRUE;YES;NO;Build Dependencies Management_Including unneeded dependencies;;;Performance_Remove Unneeded environments/scripts/tasks
10;mavlink/mavros;56;https://github.com/mavlink/mavros/pull/56;Switch to libev;TRUE;NO;;;;;
11;mavlink/mavros;986;https://github.com/mavlink/mavros/pull/986;cmake: fix FindGeographicLib for Debian systems;FALSE;YES;NO;Build Maintainability_Customization over a specific environment (e.g., rework for making the system running on a different OS);;;
12;carla-simulator/carla;408;https://github.com/carla-simulator/carla/pull/408;Speed up setup script;TRUE;YES;NO;Build Execution_Independent build jobs are not executed in parallel;;;Performance_Introduce Parallelization
13;carla-simulator/carla;1318;https://github.com/carla-simulator/carla/pull/1318;Simplify Dockerfile and halve image size;TRUE;YES;NO;Build Dependencies Management_Including unneeded dependencies;;;Performance_Remove Unneeded environments/scripts/tasks
13;carla-simulator/carla;1318;https://github.com/carla-simulator/carla/pull/1318;Simplify Dockerfile and halve image size;TRUE;YES;NO;Security_Use sudo for accessing Docker;;;Security_Introduce/Remove sudo in commands
14;carla-simulator/carla;1857;https://github.com/carla-simulator/carla/pull/1857;Allow setting fixed time-step at runtime and package in shipping mode;TRUE;NO;;;;;
15;carla-simulator/carla;2452;https://github.com/carla-simulator/carla/pull/2452;Sergi e/synch step;TRUE;YES;YES;;Simulators_Functional Correctness;Resources_Change simulator settings;
16;carla-simulator/carla;2558;https://github.com/carla-simulator/carla/pull/2558;SUMO co-simulation beta version;TRUE;NO;;;;;
17;carla-simulator/carla;2714;https://github.com/carla-simulator/carla/pull/2714;Sumo traffic lights integration;TRUE;NO;;;;;
18;carla-simulator/carla;2774;https://github.com/carla-simulator/carla/pull/2774;Better build script;TRUE;NO;;;;;
19;carla-simulator/carla;3258;https://github.com/carla-simulator/carla/pull/3258;Changing Jenkinsfile for Doxygen;TRUE;NO;;;;;
20;carla-simulator/carla;3662;https://github.com/carla-simulator/carla/pull/3662;Toggle ragdoll physics + Upgrade PhysXVehicle for sweep wheel collisions;TRUE;YES;YES;;Simulators_Limited Functionality;Resources_Evolve simulator;
21;carla-simulator/carla;3704;https://github.com/carla-simulator/carla/pull/3704;CarSim broken pipeline fix;TRUE;NO;;;;;
22;carla-simulator/carla;3942;https://github.com/carla-simulator/carla/pull/3942;Smoke test are now executed in a predetermined order;TRUE;YES;NO;Build Execution_Build steps are not properly ordered (e.g., static analysis could precede testing to avoid failing it very late);;;Build Process Organization_Add/Evolve smoke test
23;carla-simulator/carla;4128;https://github.com/carla-simulator/carla/pull/4128;Fixes related with vehicle physics;TRUE;NO;;;;;
24;carla-simulator/carla;2070;https://github.com/carla-simulator/carla/pull/2070;Improve sync mode performance;FALSE;NO;;;;;
25;carla-simulator/carla;2787;https://github.com/carla-simulator/carla/pull/2787;Building Carla on Ubuntu 20.04 LTS;FALSE;YES;NO;Build Maintainability_Customization over a specific environment (e.g., rework for making the system running on a different OS);;;
26;carla-simulator/carla;4596;https://github.com/carla-simulator/carla/pull/4596;Minor improvements in vehicle telemetry;FALSE;NO;;;;;
27;cleanflight/cleanflight;160;https://github.com/cleanflight/cleanflight/pull/160;New timer implementation;TRUE;NO;;;;;
28;cleanflight/cleanflight;375;https://github.com/cleanflight/cleanflight/pull/375;Virtual Current Sensor Support;TRUE;YES;YES;;Simulators_Functional Correctness;Resources_Evolve simulator;
29;cleanflight/cleanflight;515;https://github.com/cleanflight/cleanflight/pull/515;Add ability for Blackbox to record to an onboard dataflash chip;TRUE;NO;;;;;
30;cleanflight/cleanflight;1504;https://github.com/cleanflight/cleanflight/pull/1504;Cooperative task scheduler;TRUE;NO;;;;;
31;cleanflight/cleanflight;2016;https://github.com/cleanflight/cleanflight/pull/2016;For discussion refactored LuxFloat to use P8 I8 D8 and give same output as MwRewrite;TRUE;NO;;;;;
32;cleanflight/cleanflight;1995;https://github.com/cleanflight/cleanflight/pull/1995;Fix parameter groups tests under running on OSX;TRUE;YES;NO;Build Maintainability_Customization over a specific environment (e.g., rework for making the system running on a different OS);;;
33;cleanflight/cleanflight;1678;https://github.com/cleanflight/cleanflight/pull/1678;Added script to dump cleanflight CLI config;FALSE;NO;;;;;
34;cleanflight/cleanflight;979;https://github.com/cleanflight/cleanflight/pull/979;Add vagrant file for seamless development environment;FALSE;NO;;;;;
35;cleanflight/cleanflight;1654;https://github.com/cleanflight/cleanflight/pull/1654;Configuring data with TX and oled menus;FALSE;NO;;;;;
36;cleanflight/cleanflight;1496;https://github.com/cleanflight/cleanflight/pull/1496;Building Cleanflight to run on PC with X Plane simulator;FALSE;YES;YES;;HIL_Costs and Scalability for testing;Resources_Use Both Simulators and Real Hardware;
37;cleanflight/cleanflight;2936;https://github.com/cleanflight/cleanflight/pull/2936;Add vtx_freq setting for SmartAudio and Tramp;FALSE;NO;;;;;
38;bulletphysics/bullet3;1788;https://github.com/bulletphysics/bullet3/pull/1788;Add Travis CI settings for Xenial and Bionic;TRUE;NO;;;;;
39;bulletphysics/bullet3;1131;https://github.com/bulletphysics/bullet3/pull/1131;pybullet add option to use NumPy to speed up thanks to moof2k;TRUE;YES;NO;Build Maintainability_Customization over a specific environment (e.g., rework for making the system running on a different OS);;;
40;cartographer-project/cartographer;298;https://github.com/cartographer-project/cartographer/pull/298;Do not ignore docker history command errors;TRUE;YES;NO;Build Dependencies Management_Inappropriate choice about what to cache;;;Performance_Change Caching configuration
41;cartographer-project/cartographer;517;https://github.com/cartographer-project/cartographer/pull/517;Introduce timeout for global constraints;TRUE;NO;;;;;
42;cartographer-project/cartographer;1094;https://github.com/cartographer-project/cartographer/pull/1094;Limit bazel test parallelism more precisely;TRUE;YES;NO;Build Execution_Independent build jobs are not executed in parallel;;;Performance_Introduce Parallelization
43;cartographer-project/cartographer;1356;https://github.com/cartographer-project/cartographer/pull/1356;Use absl Mutex instead of custom implementation;TRUE;NO;;;;;
44;cartographer-project/cartographer;1463;https://github.com/cartographer-project/cartographer/pull/1463;Windows build fixes Azure CI;TRUE;YES;NO;Build Maintainability_Customization over a specific environment (e.g., rework for making the system running on a different OS);;;
45;cartographer-project/cartographer;1732;https://github.com/cartographer-project/cartographer/pull/1732;Integrate imu based extrapolator;TRUE;NO;;;;;
46;cartographer-project/cartographer;297;https://github.com/cartographer-project/cartographer/pull/297;Check Travis cache size;FALSE;YES;NO;Build Dependencies Management_Inappropriate choice about what to cache;;;Performance_Change Caching configuration
47;Ardupilot/ardupilot;2863;https://github.com/ArduPilot/ardupilot/pull/2863;Scripts JSBSim now runs when user selects HIL mode in sim_vehicle sh;TRUE;NO;;;;;
48;Ardupilot/ardupilot;7591;https://github.com/ArduPilot/ardupilot/pull/7591;Travis Move a number of builds to Semaphore CI;TRUE;YES;NO;Build Process Definition_Wide and incohesive build jobs are used (e.g., a build job mixes up testing and static analysis activities);;;Maintainability_Split build scripts/jobs
49;Ardupilot/ardupilot;7861;https://github.com/ArduPilot/ardupilot/pull/7861;Remove building of APM binaries from build_binaries py;TRUE;YES;NO;Build Duration_Unneeded tasks are scheduled in the build process;;;Performance_Remove Unneeded environments/scripts/tasks
50;Ardupilot/ardupilot;8138;https://github.com/ArduPilot/ardupilot/pull/8138;Reintroduce plane CI tests;TRUE;NO;;;;;
51;Ardupilot/ardupilot;9176;https://github.com/ArduPilot/ardupilot/pull/9176;scripts Add mavproxy in pip install;TRUE;NO;;;;;
52;Ardupilot/ardupilot;9588;https://github.com/ArduPilot/ardupilot/pull/9588;Vagrant correct init script so profiles work cosmic support;TRUE;NO;;;;;
53;Ardupilot/ardupilot;10114;https://github.com/ArduPilot/ardupilot/pull/10114;SITL build cygwin32 binaries for GCS SITL;TRUE;YES;NO;Build Maintainability_Build configurations are cloned in different environments;;;
54;Ardupilot/ardupilot;10642;https://github.com/ArduPilot/ardupilot/pull/10642;Azure GitHub and CI changes;TRUE;NO;;;;;
55;Ardupilot/ardupilot;10911;https://github.com/ArduPilot/ardupilot/pull/10911;travis Use clang 7 and not clang 5;TRUE;NO;;;;;
56;Ardupilot/ardupilot;11155;https://github.com/ArduPilot/ardupilot/pull/11155;Update CI loads and Python3 compat problems;TRUE;YES;NO;Build Execution_Include unneeded environment;;;Performance_Remove Unneeded environments/scripts/tasks
