repo_url,dockerfile_path,original_dockerfile,static_optimized_dockerfile,llm_optimized_dockerfile,static_size_issues_found,static_estimated_savings_kb,llm_size_issues_found,llm_estimated_savings_kb,total_estimated_savings_kb,original_image_size,optimized_image_size,original_build_success,optimized_build_success,error
https://github.com/ApolloAuto/apollo,,,No,No,0,0.0,0,0.0,0.0,,,False,False,No Dockerfiles found
https://github.com/COVESA/vsomeip,cloned_repos/vsomeip/Dockerfile,"FROM ubuntu:22.04
SHELL [""/bin/bash"", ""-xec""]
RUN apt-get update
RUN export DEBIAN_FRONTEND=noninter...",No,Yes,0,0.0,2,20000.0,20000.0,,,False,False,
https://github.com/Call-for-Code/DroneAid,,,No,No,0,0.0,0,0.0,0.0,,,False,False,'>' not supported between instances of 'NoneType' and 'int'
https://github.com/DAVFoundation/missions,,,No,No,0,0.0,0,0.0,0.0,,,False,False,'>' not supported between instances of 'NoneType' and 'int'
https://github.com/Daniel-xsy/RoboBEV,,,No,No,0,0.0,0,0.0,0.0,,,False,False,'>' not supported between instances of 'NoneType' and 'int'
https://github.com/DroneDB/DroneDB,cloned_repos/DroneDB/docker/Dockerfile,"FROM dronedb/builder

# Set environment variables
ENV CMAKE_BUILD_TYPE=Release \
    DEBIAN_FRONTEND...",Yes,Yes,4,210000.0,3,30000.0,240000.0,,,False,False,
https://github.com/Fields2Cover/Fields2Cover,cloned_repos/Fields2Cover/Dockerfile,"FROM osgeo/gdal:ubuntu-full-3.6.3

LABEL NAME=""fields2cover"" \
      VERSION=""2.0.0"" \
      DESC=""F...",Yes,Yes,4,290000.0,2,20000.0,310000.0,,,False,False,
https://github.com/Fraunhofer-AISEC/gallia,cloned_repos/gallia/Dockerfile,"# SPDX-FileCopyrightText: AISEC Pentesting Team
#
# SPDX-License-Identifier: CC0-1.0

FROM debian:st...",Yes,Yes,2,100000.0,2,10000.0,110000.0,,,False,False,
https://github.com/INTO-CPS-Association/DTaaS,cloned_repos/DTaaS/.devcontainer/dtaas/Dockerfile,"FROM mcr.microsoft.com/devcontainers/typescript-node:22-bullseye

# Accept build arguments
ARG NODE_...",No,Yes,0,0.0,3,50000.0,50000.0,,,False,False,
https://github.com/InfiniTimeOrg/InfiniTime,cloned_repos/InfiniTime/docker/Dockerfile,"FROM ubuntu:22.04

ARG DEBIAN_FRONTEND=noninteractive
ARG NODE_MAJOR=20
RUN apt-get update -qq \
   ...",Yes,Yes,6,400000.0,5,90000.0,490000.0,,,False,False,
